car_id,command,sensor_0_distance,sensor_0_object_type,sensor_1_distance,sensor_1_object_type,sensor_2_distance,sensor_2_object_type,sensor_3_distance,sensor_3_object_type,sensor_4_distance,sensor_4_object_type,sensor_5_distance,sensor_5_object_type,sensor_6_distance,sensor_6_object_type,sensor_7_distance,sensor_7_object_type
car_1,keep_direction,535.0,1.0,93.99494936611666,1.0,486.66666666666674,1.0,65.71067811865476,1.0,45.0,1.0,9.142135623730951,1.0,5.0,1.0,9.142135623730951,1.0
car_1,keep_direction,522.0,1.0,93.99494936611713,1.0,474.1,1.0,84.09545442950454,1.0,58.0,1.0,9.14213562373102,1.0,5.0,1.0,9.14213562373102,1.0
car_1,keep_direction,521.0,1.0,93.99494936611713,1.0,473.1333333333333,1.0,85.50966799187763,1.0,59.0,1.0,9.14213562373102,1.0,5.0,1.0,9.142135623731031,1.0
car_1,keep_direction,520.0,1.0,93.99494936611718,1.0,472.16666666666663,1.0,86.92388155425074,1.0,60.0,1.0,9.14213562373102,1.0,5.0,1.0,9.14213562373102,1.0
car_1,keep_direction,519.0,1.0,93.99494936611718,1.0,471.20000000000005,1.0,88.33809511662379,1.0,61.0,1.0,9.14213562373102,1.0,5.0,1.0,9.14213562373102,1.0
car_1,keep_direction,518.0,1.0,93.99494936611713,1.0,470.23333333333335,1.0,89.75230867899688,1.0,62.0,1.0,9.14213562373102,1.0,5.0,1.0,9.14213562373102,1.0
car_1,keep_direction,517.0,1.0,93.99494936611713,1.0,469.26666666666665,1.0,91.16652224136998,1.0,63.0,1.0,9.142135623731011,1.0,5.0,1.0,9.14213562373102,1.0
car_1,keep_direction,516.0,1.0,93.99494936611713,1.0,468.29999999999995,1.0,92.58073580374304,1.0,64.0,1.0,9.142135623731011,1.0,5.0,1.0,9.14213562373102,1.0
car_1,keep_direction,515.0,1.0,93.99494936611713,1.0,467.33333333333337,1.0,93.99494936611617,1.0,65.0,1.0,9.142135623731011,1.0,5.0,1.0,9.14213562373102,1.0
car_1,keep_direction,514.0,1.0,93.99494936611713,1.0,466.3666666666667,1.0,95.40916292848927,1.0,66.0,1.0,9.14213562373102,1.0,5.0,1.0,9.14213562373102,1.0
car_1,keep_direction,513.0,1.0,93.99494936611718,1.0,465.4,1.0,96.82337649086236,1.0,67.0,1.0,9.14213562373102,1.0,5.0,1.0,9.14213562373102,1.0
car_1,keep_direction,512.0,1.0,93.99494936611713,1.0,464.4333333333334,1.0,98.23759005323541,1.0,68.0,1.0,9.14213562373102,1.0,5.0,1.0,9.14213562373102,1.0
car_1,keep_direction,511.0,1.0,93.99494936611713,1.0,463.4666666666667,1.0,99.65180361560851,1.0,69.0,1.0,9.14213562373102,1.0,5.0,1.0,9.14213562373102,1.0
car_1,keep_direction,510.0,1.0,93.9949493661171,1.0,462.5,1.0,101.0660171779816,1.0,70.0,1.0,9.14213562373102,1.0,5.0,1.0,9.14213562373102,1.0
car_1,keep_direction,509.0,1.0,93.99494936611713,1.0,461.5333333333333,1.0,102.48023074035467,1.0,71.0,1.0,9.14213562373102,1.0,5.0,1.0,9.14213562373102,1.0
car_1,keep_direction,508.0,1.0,93.99494936611713,1.0,460.5666666666666,1.0,103.89444430272775,1.0,72.0,1.0,9.14213562373102,1.0,5.0,1.0,9.14213562373102,1.0
car_1,keep_direction,507.0,1.0,93.99494936611713,1.0,459.6,1.0,105.30865786510086,1.0,73.0,1.0,9.14213562373102,1.0,5.0,1.0,9.14213562373102,1.0
car_1,keep_direction,506.0,1.0,93.99494936611713,1.0,458.6333333333333,1.0,106.7228714274739,1.0,74.0,1.0,9.14213562373102,1.0,5.0,1.0,9.14213562373102,1.0
car_1,turn_right,505.0,1.0,93.99494936611713,1.0,457.66666666666663,1.0,108.137084989847,1.0,75.0,1.0,9.14213562373102,1.0,5.0,1.0,9.14213562373102,1.0
car_1,turn_right,504.0776873023929,1.0,92.28718967116262,1.0,464.6780068108184,1.0,107.60303914370303,1.0,76.01218624351262,1.0,8.925897610171504,1.0,5.018978345367298,1.0,9.420689122076228,1.0
car_1,turn_right,503.31041044578046,1.0,90.64134008209747,1.0,472.06674328865955,1.0,107.11981062054451,1.0,77.04922069052441,1.0,8.744856805789711,1.0,5.058479256932097,1.0,9.739554362298719,1.0
car_1,turn_right,502.6979142897793,1.0,89.05341966246887,1.0,479.8581872918982,1.0,106.68464774495598,1.0,78.11176984899396,1.0,8.597198706041628,1.0,5.118554987326792,1.0,10.101219049549211,1.0
car_1,turn_right,502.24017947621195,1.0,87.51976852640787,1.0,488.0801011315469,1.0,106.2950389239748,1.0,79.20054039167967,1.0,8.481270941497307,1.0,5.199289289220911,1.0,10.508428180285044,1.0
car_1,turn_right,501.93742313835253,1.0,86.03701560732283,1.0,496.76299608575385,1.0,105.94868916382346,1.0,80.31628101222259,1.0,8.395567539259218,1.0,5.300797721099158,1.0,10.964215739750568,1.0
car_1,turn_right,501.7901004961916,1.0,84.60205021243353,1.0,505.94047501875815,1.0,105.6434993748739,1.0,81.45978444628318,1.0,8.33871505901929,1.0,5.4232280731271185,1.0,11.471941298214215,1.0
car_1,turn_right,501.79890735144994,1.0,83.21199685321086,1.0,515.6496278097325,1.0,105.37754809079695,1.0,81.0593615219606,1.0,8.309460352595147,1.0,5.566760916058026,1.0,12.035332407309806,1.0
car_1,turn_right,501.96478350245775,1.0,81.86419291872504,1.0,525.9314893242478,1.0,105.14907528444826,1.0,71.35937483750415,1.0,8.306659733772724,1.0,5.7316102770155535,1.0,12.658533892767903,1.0
